waterrelated,,plantandvegetables,,humanrelated,,animal,,insect,,landsoil,,searelated,,others,,wastewater,,food,
3035230,hot spring sediment,2935309,eggplant,3003634,clinical isolate,2764921,bird of prey feces sample,2822584,insects extract,2509578,agricultural lands,2743887,baltic sea mesocosm,2915324,eschericia coli lysogens,2182346,organic waste,1971426,whey
1982658,"hot, acidic spring",2935339,eggplant,2972504,clinical isolate,2764919,bird of prey feces sample,2822581,insects extract,2509784,agricultural lands,2743836,baltic sea mesocosm,2915331,eschericia coli lysogens,2320194,organic waste,1971427,whey
1076759,endho dam,2935308,eggplant,2983324,clinical isolate,2764920,bird of prey feces sample,2822583,insects extract,2509775,agricultural lands,2743850,baltic sea mesocosm,2925423,eschericia coli lysogens,2320195,organic waste,1971429,whey
2036768,eutrophic marsh,2935291,eggplant,3003633,clinical isolate,2764918,bird of prey feces sample,2822580,insects extract,2509580,agricultural lands,2743900,baltic sea mesocosm,2915327,eschericia coli lysogens,2320197,organic waste,1971430,whey
2201417,freshwater,2022331,diseased potato plant,2985548,clinical isolate,2744000,birds of prey feces sample,1959007,foul brood,2509554,agricultural lands,2743883,baltic sea mesocosm,2915332,eschericia coli lysogens,2489618,organic waste,1971431,whey
2419754,freshwater,1229761,birch coppice colliery,2985551,clinical isolate,977733,bos taurus,1589749,"glue-like liquid, foulbrood slime",2509577,agricultural lands,2743841,baltic sea mesocosm,2915326,eschericia coli lysogens,2489628,organic waste,1971432,whey
2562175,freshwater,2935396,bittersweet,2983321,clinical isolate,977734,bos taurus,2249767,infected hive,2509561,agricultural lands,2743838,baltic sea mesocosm,2915328,eschericia coli lysogens,2489634,organic waste,1971433,whey
2530021,freshwater,2935397,bittersweet,2968432,clinical isolate,338345,bos taurus fecal sample,2866804,isolated from the intestine of housefly larvae,2509593,agricultural lands,2743789,baltic sea mesocosm,2915330,eschericia coli lysogens,2489635,organic waste,1971434,whey
2419747,freshwater,1815988,bark,2301634,clinical lysogenic strain,340434,bos taurus fecal sample,1150991,silkworms,2509727,agricultural lands,2743820,baltic sea mesocosm,2653725,"evansville, in",2851068,organic waste,1971435,whey
2419748,freshwater,1852642,blossoms and branches,2301635,clinical lysogenic strain,1429230,bovine faeces,1969991,simulium squamosum (e) larval bac library,2509738,agricultural lands,2743782,baltic sea mesocosm,2735535,experimental evolution under sporulation selection regime,2851069,organic waste,1971436,whey
1912592,freshwater,1903184,citrus,2301636,clinical lysogenic strain,2776734,bovine fecal sample,2776772,spotted cucumber beetle,2509567,agricultural lands,2743813,baltic sea mesocosm,2735534,experimental evolution under sporulation selection regime,2928831,organic waste,1971437,whey
2419743,freshwater,1903185,citrus midrib,2301637,clinical lysogenic strain,3024423,bovine feces,2876880,termite,2509742,agricultural lands,2743867,baltic sea mesocosm,2735533,experimental evolution under sporulation selection regime,2489623,organic waste,1971438,whey
3017787,freshwater,941969,citrus paradisi,2301639,clinical lysogenic strain,2758313,bovine feces,2879808,termite,2836128,agricultural lands,2743825,baltic sea mesocosm,2735532,experimental evolution under sporulation selection regime,2163632,organic waste,1971439,whey
2419746,freshwater,941970,citrus paradisi,2301640,clinical lysogenic strain,2772516,bovine feces,2985613,wax,2836087,agricultural lands,2743878,baltic sea mesocosm,1572712,failed fermentation,2489619,organic waste,1971440,whey
2419744,freshwater,2935164,ginger,2301638,clinical lysogenic strain,2859525,bovine feces,2761109,worm farm effluent,2509749,agricultural lands,2743783,baltic sea mesocosm,2972435,fermentation broth,2489633,organic waste,1971443,whey
3017786,freshwater,2935351,ginger,2894352,clinical patient,2859524,bovine feces,2761110,worm farm effluent,2836080,agricultural lands,2743798,baltic sea mesocosm,2978981,fermentation broth,2489630,organic waste,1971445,whey
1912593,freshwater,2935398,ginger,1852625,clinical sample,1837875,bovine intestine,2761108,worm farm effluent,2509555,agricultural lands,2743840,baltic sea mesocosm,2576879,fermentation culture,3003825,organic waste,1971446,whey
3017788,freshwater,2935151,ginger,1852657,clinical sample,2666261,bovine intestine,,,2509772,agricultural lands,2743831,baltic sea mesocosm,2884424,fermentation plant,2489632,organic waste,1971447,whey
2565877,freshwater,2935106,ginger,1912319,clinical sample,2785523,bovine milk,,,2836085,agricultural lands,2743797,baltic sea mesocosm,2813172,fermented sour broth,2163629,organic waste,1971448,whey
2419751,freshwater,2935431,ginger,2918656,clinical sample from intensive care unit,2816461,bovine milk,,,2509590,agricultural lands,2743823,baltic sea mesocosm,1862964,lab isolate,2489625,organic waste,1971449,whey
2865759,freshwater,2935165,ginger,1273450,clinical specimen,2785452,bovine milk,,,2509732,agricultural lands,2743786,baltic sea mesocosm,1862965,lab isolate,2489626,organic waste,2419628,whey
2419740,freshwater,2935107,ginger,578234,bacteria from human vagina,1610836,camel fecal sample,,,2509736,agricultural lands,2743875,baltic sea mesocosm,2936647,laboratory strain,2851072,organic waste,2419630,whey
2653964,freshwater,2935152,ginger,2800706,bacteria isolated from woman's vagina,1965365,canine fecal material,,,2836084,agricultural lands,2743890,baltic sea mesocosm,2999049,laboratory-derived mutant,2851070,organic waste,2419631,whey
