waterrelated,,plantandvegetables,,humanrelated,,animal,,insect,,landsoil,,searelated,,others,,wastewater,,food,
2108171,water,,,,,,,,,2315712,soil,1929126,seawater 2 meter depth,,,3038111,Sewage water,,
2108172,water,,,,,,,,,2502468,soil,1929125,seawater 2 meter depth,,,3038110,Sewage water,,
2108173,water,,,,,,,,,2813164,soil,1929124,surface seawater,,,3038109,Sewage water,,
2108174,water,,,,,,,,,1391180,soil,1929123,surface seawater,,,3038108,Sewage water,,
2178923,water,,,,,,,,,2530135,soil,1929122,surface seawater,,,3038107,Sewage water,,
2483417,water,,,,,,,,,2502466,soil,1929121,surface seawater,,,3038106,Sewage water,,
2583286,water,,,,,,,,,1777062,soil,1929120,surface seawater,,,3038105,Sewage water,,
2589665,water,,,,,,,,,2283298,soil,1929119,seawater 2 meter depth,,,3038103,Sewage water,,
2591103,water,,,,,,,,,2656596,soil,1929118,seawater 2 meter depth,,,3038102,Sewage water,,
2591104,water,,,,,,,,,2250305,soil,1929117,surface seawater,,,3038101,Sewage water,,
2601630,water,,,,,,,,,1327939,soil,1929116,surface seawater,,,1302810,industrial sewage,,
2601638,water,,,,,,,,,2041543,soil,1929115,surface seawater,,,2719567,sewage,,
2653762,water,,,,,,,,,2859480,soil,1929114,surface seawater,,,700938,sewage,,
2653765,water,,,,,,,,,2530134,soil,1929113,surface seawater,,,700937,wastewater,,
2660724,water,,,,,,,,,2759460,soil,1929112,surface seawater,,,2746891,wastewater treatment water,,
2696355,water,,,,,,,,,1805459,soil,1929111,seawater 2 meter depth,,,1651201,sewage,,
2705110,water,,,,,,,,,2583046,soil,1929110,seawater 2 meter depth,,,2656506,drainage water,,
2718947,water,,,,,,,,,2234077,soil,1929109,surface seawater,,,1651200,sewage,,
2723743,water,,,,,,,,,2250406,soil,1929108,surface seawater,,,1651204,sewage,,
2723911,water,,,,,,,,,1429913,soil,1929107,surface seawater,,,1651203,sewage,,
2724325,water,,,,,,,,,2099638,soil,2798681,seawater collected above Thalassia testudinum,,,1090133,sewage,,
2724326,water,,,,,,,,,2250304,soil,1929106,surface seawater,,,76933,sewage,,
2724327,water,,,,,,,,,2094138,soil,2859364,filtered seawater,,,2873402,swine feedlot wastewater,,
2810369,water,,,,,,,,,2027898,soil,2859298,filtered seawater,,,1651197,sewage,,
2810370,water,,,,,,,,,2488975,soil,2859297,filtered seawater,,,2873344,sewage,,
2834249,water,,,,,,,,,2867471,soil,2859363,filtered seawater,,,2759465,sewage,,
2835966,water,,,,,,,,,2871534,soil,2859361,filtered seawater,,,2759464,sewage,,
2835967,water,,,,,,,,,2250405,soil,2859296,filtered seawater,,,2736194,sewage water,,
2835968,water,,,,,,,,,2999015,soil,2859295,filtered seawater,,,3034283,wastewater,,
2835969,water,,,,,,,,,2965213,soil,2859360,filtered seawater,,,2996108,sewage of Affiliated Hospital of Southwest Medical University,,
2835970,water,,,,,,,,,2530188,soil,2859359,filtered seawater,,,2945902,Beheshti Hospital wastewater in Kashan university of medical sciences,,
2835971,water,,,,,,,,,2652894,soil,2859358,filtered seawater,,,2981580,Medical sewage,,
2835972,water,,,,,,,,,3038378,soil,2859356,filtered seawater,,,2591378,raw sewage,,
2835973,water,,,,,,,,,1777060,soil,2859355,filtered seawater,,,2836075,wastewater samples were collected from Qaem hospitals,,
2835974,water,,,,,,,,,2502433,soil,2859354,filtered seawater,,,2951200,hospital wastewater,,
2835975,water,,,,,,,,,2024297,soil,2859353,filtered seawater,,,2932860,sewage,,
2835976,water,,,,,,,,,2530133,soil,2859351,filtered seawater,,,2591377,raw sewage,,
2835977,water,,,,,,,,,2250303,soil,2859350,filtered seawater,,,3041493,wastewater,,
2835978,water,,,,,,,,,2126810,soil,2859349,filtered seawater,,,3041492,wastewater,,
2835981,water,,,,,,,,,2776845,soil,2859348,filtered seawater,,,2591376,raw sewage,,
2835982,water,,,,,,,,,2776880,soil,2859347,filtered seawater,,,2530030,sewage water,,
2835983,water,,,,,,,,,2776879,soil,2859294,filtered seawater,,,2864367,sewage water,,
2835984,water,,,,,,,,,1527513,soil,2859346,filtered seawater,,,2864366,sewage water,,
2835985,water,,,,,,,,,1567473,soil,2859293,filtered seawater,,,2866699,sewage water,,
2862735,water,,,,,,,,,2015847,soil,2859339,filtered seawater,,,2864365,sewage water,,
2881391,water,,,,,,,,,2873536,soil,2859338,filtered seawater,,,2864364,sewage water,,
2918874,water,,,,,,,,,2951389,soil,2859337,filtered seawater,,,2866698,sewage water,,
2935197,water,,,,,,,,,2126807,soil,2859336,filtered seawater,,,2864363,sewage water,,
2935198,water,,,,,,,,,2126953,soil,2859335,filtered seawater,,,2864362,sewage water,,
2935199,water,,,,,,,,,2234076,soil,2859334,filtered seawater,,,2866696,sewage water,,
2935200,water,,,,,,,,,1567005,soil,2859333,filtered seawater,,,2864369,sewage water,,
2935273,water,,,,,,,,,2500806,soil,2859332,filtered seawater,,,2866702,sewage water,,
2935274,water,,,,,,,,,2315710,soil,2859331,filtered seawater,,,2866701,sewage water,,
2935275,water,,,,,,,,,1429792,soil,2859330,filtered seawater,,,2961844,sewage water,,
2935276,water,,,,,,,,,2927253,soil,2859329,filtered seawater,,,2914021,sewage water,,
2935294,water,,,,,,,,,2510578,soil,2859327,filtered seawater,,,2864361,sewage water,,
2935295,water,,,,,,,,,2998986,soil,2859326,filtered seawater,,,2864368,sewage water,,
2935300,water,,,,,,,,,2686098,soil,2859324,filtered seawater,,,2923098,wastewater,,
2935301,water,,,,,,,,,2099636,soil,2859323,filtered seawater,,,2923097,wastewater,,
2935415,water,,,,,,,,,2301562,soil,2859321,filtered seawater,,,2918934,sewage,,
2935416,water,,,,,,,,,2108126,soil,2859320,filtered seawater,,,2918930,sewage,,
2935417,water,,,,,,,,,1340834,soil,2859319,filtered seawater,,,2918929,sewage,,
2935418,water,,,,,,,,,2499049,soil,2859318,filtered seawater,,,2918928,sewage,,
2935419,water,,,,,,,,,2836100,soil,2859317,filtered seawater,,,2900314,raw sewage,,
2935420,water,,,,,,,,,2656595,soil,2859316,filtered seawater,,,2650665,sewage,,
2935421,water,,,,,,,,,2686084,soil,2859315,filtered seawater,,,3053254,sewage,,
2935422,water,,,,,,,,,2488974,soil,2859311,filtered seawater,,,2591368,raw sewage,,
2966628,water,,,,,,,,,1805460,soil,2859310,filtered seawater,,,2591373,raw sewage,,
2968246,water,,,,,,,,,2772029,soil,2859309,filtered seawater,,,2601649,sewage,,
2968248,water,,,,,,,,,2974051,soil,2859308,filtered seawater,,,2878085,hospital sewage,,
2968818,water,,,,,,,,,2656594,soil,2859307,filtered seawater,,,2530031,sewage water,,
2970490,water,,,,,,,,,2762423,soil,2859292,filtered seawater,,,2591364,raw sewage,,
2970491,water,,,,,,,,,2768138,soil,2859305,filtered seawater,,,2593329,sewage,,
2970507,water,,,,,,,,,2836099,soil,2859291,filtered seawater,,,3012327,hospital sewage,,
2970508,water,,,,,,,,,2950305,soil,2859290,filtered seawater,,,3012326,hospital sewage,,
2970509,water,,,,,,,,,2488787,soil,2859304,filtered seawater,,,2961845,sewage,,
2970510,water,,,,,,,,,2250423,soil,2859303,filtered seawater,,,2866700,sewage water,,
2970511,water,,,,,,,,,1897496,soil,2859302,filtered seawater,,,2864360,sewage water,,
2970512,water,,,,,,,,,1897445,soil,2859289,filtered seawater,,,3041490,wastewater,,
2970513,water,,,,,,,,,2759452,soil,2859301,filtered seawater,,,2894801,raw sewage,,
2970514,water,,,,,,,,,2484212,soil,1531340,"Gulf of Aqaba, Red Sea, open water",,,2530028,sewage water,,
2970515,water,,,,,,,,,2484211,soil,1531334,"Gulf of Aqaba, Red Sea, open water",,,2800822,sewage,,
2970516,water,,,,,,,,,2725652,soil,2914506,South China Sea,,,2866703,sewage water,,
2970518,water,,,,,,,,,2599871,soil,2914505,South China Sea,,,2902681,raw sewage,,
2970519,water,,,,,,,,,2599870,soil,2914504,South China Sea,,,2902680,raw sewage,,
2970520,water,,,,,,,,,1873889,soil,2914503,South China Sea,,,2902679,raw sewage,,
2970521,water,,,,,,,,,1881141,soil,2914502,South China Sea,,,2902662,raw sewage,,
2970522,water,,,,,,,,,2250361,soil,2914501,South China Sea,,,2886109,sewage water,,
2970523,water,,,,,,,,,2910927,soil,2914500,South China Sea,,,2902682,raw sewage,,
2970524,water,,,,,,,,,2027897,soil,2914499,South China Sea,,,2911661,raw sewage,,
2970525,water,,,,,,,,,2927250,soil,2914498,South China Sea,,,2905421,raw sewage,,
2970526,water,,,,,,,,,2696374,soil,2914497,South China Sea,,,2979966,Sewage,,
2970527,water,,,,,,,,,2978500,soil,2914496,South China Sea,,,2979965,Sewage,,
2970528,water,,,,,,,,,2499047,soil,2914495,South China Sea,,,2979964,Sewage,,
2970529,water,,,,,,,,,2099635,soil,2914494,South China Sea,,,2979963,Sewage,,
2970530,water,,,,,,,,,2126787,soil,2914493,South China Sea,,,2979962,Sewage,,
2973496,water,,,,,,,,,2041541,soil,2914492,South China Sea,,,2979961,Sewage,,
2975529,water,,,,,,,,,2593349,soil,2914491,South China Sea,,,2979986,Sewage,,
2975530,water,,,,,,,,,2488973,soil,2914490,South China Sea,,,2979985,Sewage,,
2975531,water,,,,,,,,,2014349,soil,2914489,South China Sea,,,2979984,Sewage,,
2975532,water,,,,,,,,,2047841,soil,1332132,"Red Sea, open water",,,2979960,Sewage,,
2975533,water,,,,,,,,,3038377,soil,1332131,"Red Sea, open water",,,2979983,Sewage,,
2975534,water,,,,,,,,,1815969,soil,1332130,"Red Sea, open water",,,2979982,Sewage,,
2975535,water,,,,,,,,,2517958,soil,1332129,"Red Sea, open water",,,2979981,Sewage,,
2975536,water,,,,,,,,,2656592,soil,1332126,"Red Sea, open water MED4",,,2979980,Sewage,,
2981541,water,,,,,,,,,2126809,soil,1332125,"Red Sea, open water",,,2979979,Sewage,,
3014808,water,,,,,,,,,3038277,soil,1332122,"Sargasso Sea, open water",,,2979978,Sewage,,
3024173,water,,,,,,,,,2041540,soil,1332121,"Sargasso Sea, open water",,,2979977,Sewage,,
3024177,water,,,,,,,,,2653761,soil,1332119,"Red Sea, open water",,,2979976,Sewage,,
3024179,water,,,,,,,,,2603262,soil,1332138,"Red Sea, open water",,,2979975,Sewage,,
3024180,water,,,,,,,,,2015821,soil,1332136,"Red Sea, open water",,,2979974,Sewage,,
3024181,water,,,,,,,,,2835965,soil,1332135,"Red Sea, open water",,,2979973,Sewage,,
3025403,water,,,,,,,,,2502483,soil,1332134,"Red Sea, open water",,,2979972,Sewage,,
3038232,water,,,,,,,,,1837841,soil,1332133,"Red Sea, open water",,,2979971,Sewage,,
3038301,water,,,,,,,,,1541823,soil,1531321,"Gulf of Aqaba, Red Sea, open water",,,2979970,Sewage,,
2833876,water from des plaines river,,,,,,,,,1881139,soil,2137513,South China Sea,,,2979969,Sewage,,
2589663,water from james river,,,,,,,,,1897546,soil,2137512,South China Sea,,,2979968,Sewage,,
1775141,water from lake elmenteita,,,,,,,,,2656591,soil,2137511,South China Sea,,,2979967,Sewage,,
1775142,water from lake elmenteita,,,,,,,,,2565512,soil,2137510,South China Sea,,,2979959,Sewage,,
2483418,water of river ravi,,,,,,,,,1070990,soil,2137509,South China Sea,,,2984981,sewage,,
2822864,water pond,,,,,,,,,2041539,soil,2137508,South China Sea,,,2984978,sewage,,
2822865,water pond,,,,,,,,,2081630,soil,2137507,South China Sea,,,2972795,Sewage and Seine river water,,
2822866,water pond,,,,,,,,,2998982,soil,2137506,South China Sea,,,2972794,Sewage and Seine river water,,
627480,water sample,,,,,,,,,2593348,soil,2137505,South China Sea,,,2972793,Sewage and Seine river water,,
2656621,water sample,,,,,,,,,2656589,soil,2137504,South China Sea,,,2972792,Sewage and Seine river water,,
2749412,water sample,,,,,,,,,2885686,soil,2137503,South China Sea,,,2972791,Sewage and Seine river water,,
2762287,water sample,,,,,,,,,2859513,soil,2137502,South China Sea,,,2972790,Sewage and Seine river water,,
2939261,water sample,,,,,,,,,2965212,soil,2137500,South China Sea,,,2972813,Sewage and Seine river water,,
2968270,water sample,,,,,,,,,2656588,soil,2137501,South China Sea,,,2972812,Sewage and Seine river water,,
3025404,water sample,,,,,,,,,2023958,soil,1881240,"iron chloride precipitation of 0.2um-filtered seawater, resuspended in oxalate solution",,,2972789,Sewage and Seine river water,,
3028190,water sample,,,,,,,,,2099634,soil,1881239,"iron chloride precipitation of 0.2um-filtered seawater, resuspended in oxalate solution",,,2972811,Sewage and Seine river water,,
3028191,water sample,,,,,,,,,2419612,soil,1881238,"iron chloride precipitation of 0.2um-filtered seawater, resuspended in oxalate solution",,,2972810,Sewage and Seine river water,,
3028192,water sample,,,,,,,,,2707031,soil,1881235,"iron chloride precipitation of 0.2um-filtered seawater, resuspended in oxalate solution",,,2972809,Sewage and Seine river water,,
3037703,water sample,,,,,,,,,2950794,soil,1881234,"iron chloride precipitation of 0.2um-filtered seawater, resuspended in oxalate solution",,,2972808,Sewage and Seine river water,,
2859662,water sample collected,,,,,,,,,1468169,soil,1881233,"iron chloride precipitation of 0.2um-filtered seawater, resuspended in oxalate solution",,,2972807,Sewage and Seine river water,,
2859663,water sample collected,,,,,,,,,2079569,soil,1881232,"iron chloride precipitation of 0.2um-filtered seawater, resuspended in oxalate solution",,,2972806,Sewage and Seine river water,,
462590,water sample from local pond,,,,,,,,,1718166,soil,1881230,"iron chloride precipitation of 0.2um-filtered seawater, resuspended in oxalate solution",,,2972805,Sewage and Seine river water,,
2946013,water sample from river,,,,,,,,,2927244,soil,1881229,"iron chloride precipitation of 0.2um-filtered seawater, resuspended in oxalate solution",,,2972804,Sewage and Seine river water,,
2946014,water sample from river,,,,,,,,,2094135,soil,1881228,"iron chloride precipitation of 0.2um-filtered seawater, resuspended in oxalate solution",,,2972788,Sewage and Seine river water,,
2996096,"water sample taken from the inya river,a right tributary of the big siberian ob river",,,,,,,,,2653760,soil,1881227,"iron chloride precipitation of 0.2um-filtered seawater, resuspended in oxalate solution",,,2972800,Sewage and Seine river water,,
1920294,water samples,,,,,,,,,2499045,soil,1881225,"iron chloride precipitation of 0.2um-filtered seawater, resuspended in oxalate solution",,,2972799,Sewage and Seine river water,,
2136178,water samples,,,,,,,,,3038376,soil,1881224,"iron chloride precipitation of 0.2um-filtered seawater, resuspended in oxalate solution",,,2972798,Sewage and Seine river water,,
2136179,water samples,,,,,,,,,2652893,moist soil,1881223,"iron chloride precipitation of 0.2um-filtered seawater, resuspended in oxalate solution",,,2972797,Sewage and Seine river water,,
2927635,water samples from gypsum karst lake kirkilai,,,,,,,,,1927029,soil,1881222,"iron chloride precipitation of 0.2um-filtered seawater, resuspended in oxalate solution",,,2972796,Sewage and Seine river water,,
2928859,water samples from gypsum karst lake kirkilai,,,,,,,,,2041537,soil,1881221,"iron chloride precipitation of 0.2um-filtered seawater, resuspended in oxalate solution",,,2972787,Sewage and Seine river water,,
2928860,water samples from gypsum karst lake kirkilai,,,,,,,,,2234029,soil,1881220,"iron chloride precipitation of 0.2um-filtered seawater, resuspended in oxalate solution",,,2985561,hospital wastewater,,
2928861,water samples from gypsum karst lake kirkilai,,,,,,,,,2656587,soil,1881216,"iron chloride precipitation of 0.2um-filtered seawater, resuspended in oxalate solution",,,2972821,Sewage and Seine river water,,
2928862,water samples from gypsum karst lake kirkilai,,,,,,,,,2301707,soil,1881215,"iron chloride precipitation of 0.2um-filtered seawater, resuspended in oxalate solution",,,2972820,Sewage and Seine river water,,
2928863,water samples from gypsum karst lake kirkilai,,,,,,,,,2041536,soil,1881214,"iron chloride precipitation of 0.2um-filtered seawater, resuspended in oxalate solution",,,2972819,Sewage and Seine river water,,
2928864,water samples from gypsum karst lake kirkilai,,,,,,,,,2108125,soil,1881212,"iron chloride precipitation of 0.2um-filtered seawater, resuspended in oxalate solution",,,2972818,Sewage and Seine river water,,
2936517,water samples from the lake chaohu,,,,,,,,,2590881,"Soil, Philadelphia, PA",1881211,"iron chloride precipitation of 0.2um-filtered seawater, resuspended in oxalate solution",,,2972854,Sewage and Seine river water,,
2936518,water samples from the lake chaohu,,,,,,,,,2015884,soil,1881210,"iron chloride precipitation of 0.2um-filtered seawater, resuspended in oxalate solution",,,2972853,Sewage and Seine river water,,
2936519,water samples from the lake chaohu,,,,,,,,,1970794,soil,1881209,"iron chloride precipitation of 0.2um-filtered seawater, resuspended in oxalate solution",,,2972852,Sewage and Seine river water,,
2936520,water samples from the lake chaohu,,,,,,,,,2595045,soil,1881208,"iron chloride precipitation of 0.2um-filtered seawater, resuspended in oxalate solution",,,2972851,Sewage and Seine river water,,
2936521,water samples from the lake chaohu,,,,,,,,,2743930,soil,1881207,"iron chloride precipitation of 0.2um-filtered seawater, resuspended in oxalate solution",,,2972850,Sewage and Seine river water,,
2873454,water source,,,,,,,,,2079420,soil,1881206,"iron chloride precipitation of 0.2um-filtered seawater, resuspended in oxalate solution",,,2972817,Sewage and Seine river water,,
2873455,water source,,,,,,,,,2725753,soil,1881205,"iron chloride precipitation of 0.2um-filtered seawater, resuspended in oxalate solution",,,2972849,Sewage and Seine river water,,
2873456,water source,,,,,,,,,2656586,soil,1881204,"iron chloride precipitation of 0.2um-filtered seawater, resuspended in oxalate solution",,,2972848,Sewage and Seine river water,,
2024312,"water, grand river",,,,,,,,,2488972,soil,1881203,"iron chloride precipitation of 0.2um-filtered seawater, resuspended in oxalate solution",,,2972847,Sewage and Seine river water,,
2024313,"water, grand river",,,,,,,,,2575611,soil,1881202,"iron chloride precipitation of 0.2um-filtered seawater, resuspended in oxalate solution",,,2972846,Sewage and Seine river water,,
2024315,"water, grand river",,,,,,,,,1897440,soil,1881201,"iron chloride precipitation of 0.2um-filtered seawater, resuspended in oxalate solution",,,2972845,Sewage and Seine river water,,
2024318,"water, grand river",,,,,,,,,2653759,soil,1881200,"iron chloride precipitation of 0.2um-filtered seawater, resuspended in oxalate solution",,,2972844,Sewage and Seine river water,,
2024319,"water, grand river",,,,,,,,,2927242,soil,1881199,"iron chloride precipitation of 0.2um-filtered seawater, resuspended in oxalate solution",,,2972843,Sewage and Seine river water,,
2024320,"water, grand river",,,,,,,,,2599867,soil,1881198,"iron chloride precipitation of 0.2um-filtered seawater, resuspended in oxalate solution",,,2972842,Sewage and Seine river water,,
2024321,"water, grand river",,,,,,,,,1821726,soil,1881197,"iron chloride precipitation of 0.2um-filtered seawater, resuspended in oxalate solution",,,2972841,Sewage and Seine river water,,
2024304,"water, red cedar river",,,,,,,,,1340830,soil,1881196,"iron chloride precipitation of 0.2um-filtered seawater, resuspended in oxalate solution",,,2972840,Sewage and Seine river water,,
2024305,"water, red cedar river",,,,,,,,,2871533,soil,1881195,"iron chloride precipitation of 0.2um-filtered seawater, resuspended in oxalate solution",,,2972816,Sewage and Seine river water,,
2024306,"water, red cedar river",,,,,,,,,2502428,soil,1881194,"iron chloride precipitation of 0.2um-filtered seawater, resuspended in oxalate solution",,,2972839,Sewage and Seine river water,,
2024307,"water, red cedar river",,,,,,,,,2961975,moist soil,1881193,"iron chloride precipitation of 0.2um-filtered seawater, resuspended in oxalate solution",,,2972838,Sewage and Seine river water,,
2024308,"water, red cedar river",,,,,,,,,2961974,moist soil,1881192,"iron chloride precipitation of 0.2um-filtered seawater, resuspended in oxalate solution",,,2972837,Sewage and Seine river water,,
2024309,"water, red cedar river",,,,,,,,,2981554,moist soil,1881191,"iron chloride precipitation of 0.2um-filtered seawater, resuspended in oxalate solution",,,2972836,Sewage and Seine river water,,
2024310,"water, red cedar river",,,,,,,,,2315541,soil,1881190,"iron chloride precipitation of 0.2um-filtered seawater, resuspended in oxalate solution",,,2972835,Sewage and Seine river water,,
2178927,"water, river moscow",,,,,,,,,2510510,soil,1881188,"iron chloride precipitation of 0.2um-filtered seawater, resuspended in oxalate solution",,,2972834,Sewage and Seine river water,,
689414,river water,,,,,,,,,2652892,moist soil,1881189,"iron chloride precipitation of 0.2um-filtered seawater, resuspended in oxalate solution",,,2972833,Sewage and Seine river water,,
141904,ganga river water,,,,,,,,,2656585,soil,1881285,"iron chloride precipitation of 0.2um-filtered seawater, resuspended in oxalate solution",,,2972832,Sewage and Seine river water,,
691319,water,,,,,,,,,2502458,soil,1881284,"iron chloride precipitation of 0.2um-filtered seawater, resuspended in oxalate solution",,,2972815,Sewage and Seine river water,,
2785247,ganga river water,,,,,,,,,1486425,"soil, Williamsburg, VA",1881283,"iron chloride precipitation of 0.2um-filtered seawater, resuspended in oxalate solution",,,2972831,Sewage and Seine river water,,
,,,,,,,,,,1089126,soil,1881282,"iron chloride precipitation of 0.2um-filtered seawater, resuspended in oxalate solution",,,2972830,Sewage and Seine river water,,
,,,,,,,,,,1897545,soil,1881281,"iron chloride precipitation of 0.2um-filtered seawater, resuspended in oxalate solution",,,2972829,Sewage and Seine river water,,
,,,,,,,,,,2250421,soil,1881280,"iron chloride precipitation of 0.2um-filtered seawater, resuspended in oxalate solution",,,2972828,Sewage and Seine river water,,
,,,,,,,,,,2301614,soil,1881279,"iron chloride precipitation of 0.2um-filtered seawater, resuspended in oxalate solution",,,2972827,Sewage and Seine river water,,
,,,,,,,,,,2656584,soil,1881278,"iron chloride precipitation of 0.2um-filtered seawater, resuspended in oxalate solution",,,2972826,Sewage and Seine river water,,
,,,,,,,,,,2502460,soil,1881277,"iron chloride precipitation of 0.2um-filtered seawater, resuspended in oxalate solution",,,2972825,Sewage and Seine river water,,
,,,,,,,,,,2891198,soil,1881276,"iron chloride precipitation of 0.2um-filtered seawater, resuspended in oxalate solution",,,2972824,Sewage and Seine river water,,
,,,,,,,,,,2652403,soil,1881275,"iron chloride precipitation of 0.2um-filtered seawater, resuspended in oxalate solution",,,2972823,Sewage and Seine river water,,
,,,,,,,,,,2793695,soil,1881274,"iron chloride precipitation of 0.2um-filtered seawater, resuspended in oxalate solution",,,2972822,Sewage and Seine river water,,
,,,,,,,,,,2126814,soil,1881273,"iron chloride precipitation of 0.2um-filtered seawater, resuspended in oxalate solution",,,2972814,Sewage and Seine river water,,
,,,,,,,,,,2250330,soil,1881272,"iron chloride precipitation of 0.2um-filtered seawater, resuspended in oxalate solution",,,2500166,medical sewage,,
,,,,,,,,,,1983408,soil,1881271,"iron chloride precipitation of 0.2um-filtered seawater, resuspended in oxalate solution",,,2723742,sewage water plant,,
,,,,,,,,,,2234075,soil,1881270,"iron chloride precipitation of 0.2um-filtered seawater, resuspended in oxalate solution",,,2996116,hospital sewage,,
,,,,,,,,,,2759390,soil,1881269,"iron chloride precipitation of 0.2um-filtered seawater, resuspended in oxalate solution",,,2945908,wastewater,,
,,,,,,,,,,2517955,soil,1881267,"iron chloride precipitation of 0.2um-filtered seawater, resuspended in oxalate solution",,,2945939,wastewater,,
,,,,,,,,,,1327772,soil,1881266,"iron chloride precipitation of 0.2um-filtered seawater, resuspended in oxalate solution",,,2851026,sewage water,,
,,,,,,,,,,1327771,soil,1881265,"iron chloride precipitation of 0.2um-filtered seawater, resuspended in oxalate solution",,,2973662,sewage,,
,,,,,,,,,,2488970,soil,1881264,"iron chloride precipitation of 0.2um-filtered seawater, resuspended in oxalate solution",,,1965362,sewage,,
,,,,,,,,,,2488969,soil,1881261,"iron chloride precipitation of 0.2um-filtered seawater, resuspended in oxalate solution",,,2973661,sewage,,
,,,,,,,,,,2762422,soil,1881260,"iron chloride precipitation of 0.2um-filtered seawater, resuspended in oxalate solution",,,2767582,wastewater,,
,,,,,,,,,,2652421,soil,1881259,"iron chloride precipitation of 0.2um-filtered seawater, resuspended in oxalate solution",,,2562180,wastewater,,
,,,,,,,,,,2945978,soil,1881258,"iron chloride precipitation of 0.2um-filtered seawater, resuspended in oxalate solution",,,2863276,sewage,,
,,,,,,,,,,2970338,soil,1881257,"iron chloride precipitation of 0.2um-filtered seawater, resuspended in oxalate solution",,,2863275,sewage,,
,,,,,,,,,,2015883,soil,1881256,"iron chloride precipitation of 0.2um-filtered seawater, resuspended in oxalate solution",,,2863274,sewage,,
,,,,,,,,,,2849019,soil,1881255,"iron chloride precipitation of 0.2um-filtered seawater, resuspended in oxalate solution",,,2863273,sewage,,
,,,,,,,,,,2950303,soil,1881254,"iron chloride precipitation of 0.2um-filtered seawater, resuspended in oxalate solution",,,2863272,sewage,,
,,,,,,,,,,2836098,soil,1881253,"iron chloride precipitation of 0.2um-filtered seawater, resuspended in oxalate solution",,,2863271,sewage,,
,,,,,,,,,,2965211,soil,1881252,"iron chloride precipitation of 0.2um-filtered seawater, resuspended in oxalate solution",,,2863270,sewage,,
,,,,,,,,,,2772021,soil,1881251,"iron chloride precipitation of 0.2um-filtered seawater, resuspended in oxalate solution",,,2863269,sewage,,
,,,,,,,,,,2079419,soil,1881250,"iron chloride precipitation of 0.2um-filtered seawater, resuspended in oxalate solution",,,2863267,sewage,,
,,,,,,,,,,2081625,soil,1881249,"iron chloride precipitation of 0.2um-filtered seawater, resuspended in oxalate solution",,,2863265,sewage,,
,,,,,,,,,,1882465,soil,1881248,"iron chloride precipitation of 0.2um-filtered seawater, resuspended in oxalate solution",,,2863263,sewage,,
,,,,,,,,,,2530131,soil,1881247,"iron chloride precipitation of 0.2um-filtered seawater, resuspended in oxalate solution",,,2894585,hospital sewage,,
,,,,,,,,,,2891197,soil,1881246,"iron chloride precipitation of 0.2um-filtered seawater, resuspended in oxalate solution",,,2777230,sewage water,,
,,,,,,,,,,2725633,soil,1881245,"iron chloride precipitation of 0.2um-filtered seawater, resuspended in oxalate solution",,,2777229,sewage water,,
,,,,,,,,,,2652891,soil,1881244,"iron chloride precipitation of 0.2um-filtered seawater, resuspended in oxalate solution",,,2935708,waste water,,
,,,,,,,,,,1959484,soil,1881241,"iron chloride precipitation of 0.2um-filtered seawater, resuspended in oxalate solution",,,2970321,sewage sample,,
,,,,,,,,,,2126951,soil,1881243,"iron chloride precipitation of 0.2um-filtered seawater, resuspended in oxalate solution",,,2650873,wastewater,,
,,,,,,,,,,1340820,soil,1881447,"iron chloride precipitation of 0.2um-filtered seawater, resuspended in oxalate solution",,,2767572,wastewater,,
,,,,,,,,,,1897439,soil,1881446,"iron chloride precipitation of 0.2um-filtered seawater, resuspended in oxalate solution",,,2767581,wastewater,,
,,,,,,,,,,2652890,soil,1881445,"iron chloride precipitation of 0.2um-filtered seawater, resuspended in oxalate solution",,,2794827,wastewater in hospital,,
,,,,,,,,,,2725624,soil,1881444,"iron chloride precipitation of 0.2um-filtered seawater, resuspended in oxalate solution",,,2307017,wastewater,,
,,,,,,,,,,2686089,soil,1881443,"iron chloride precipitation of 0.2um-filtered seawater, resuspended in oxalate solution",,,2307016,wastewater,,
,,,,,,,,,,1897544,soil,1881442,"iron chloride precipitation of 0.2um-filtered seawater, resuspended in oxalate solution",,,2894286,wastewater treatment plant,,
,,,,,,,,,,2484210,soil,1881441,"iron chloride precipitation of 0.2um-filtered seawater, resuspended in oxalate solution",,,1481110,wastewater,,
,,,,,,,,,,1755681,soil,1881440,"iron chloride precipitation of 0.2um-filtered seawater, resuspended in oxalate solution",,,2794847,wastewater,,
,,,,,,,,,,2502459,soil,1881439,"iron chloride precipitation of 0.2um-filtered seawater, resuspended in oxalate solution",,,2910779,sewage treatment plant,,
,,,,,,,,,,2849018,soil,1881438,"iron chloride precipitation of 0.2um-filtered seawater, resuspended in oxalate solution",,,2736260,sewage,,
,,,,,,,,,,2126958,soil,1881437,"iron chloride precipitation of 0.2um-filtered seawater, resuspended in oxalate solution",,,2849099,sewage,,
,,,,,,,,,,2653758,soil,1881436,"iron chloride precipitation of 0.2um-filtered seawater, resuspended in oxalate solution",,,3016017,sewage,,
,,,,,,,,,,2301553,soil,1881435,"iron chloride precipitation of 0.2um-filtered seawater, resuspended in oxalate solution",,,3016016,sewage,,
,,,,,,,,,,2776878,soil,1881434,"iron chloride precipitation of 0.2um-filtered seawater, resuspended in oxalate solution",,,3016015,sewage,,
