,superkingdom,phylum,class,order,family,genus,species
166321,2.0,1117.0,3028117.0,1890424.0,1890426.0,1129.0,166321.0
59932,2.0,1117.0,3028117.0,1890424.0,1890426.0,1129.0,59932.0
166313,2.0,1117.0,3028117.0,1890424.0,1890426.0,1129.0,166313.0
166314,2.0,1117.0,3028117.0,1890424.0,1890426.0,1129.0,166314.0
151262,2.0,201174.0,1760.0,85006.0,85023.0,33882.0,151262.0
1428,2.0,1239.0,91061.0,1385.0,186817.0,1386.0,1428.0
192,2.0,1224.0,28211.0,204441.0,2829815.0,191.0,192.0
280483,2.0,1224.0,1236.0,135622.0,267889.0,1518149.0,280483.0
738,2.0,1224.0,1236.0,135625.0,712.0,2094023.0,738.0
89184,2.0,1224.0,28211.0,204455.0,2854170.0,97050.0,89184.0
52598,2.0,1224.0,28211.0,204455.0,2854170.0,60136.0,52598.0
518068,2157.0,28889.0,183924.0,2281.0,118883.0,12914.0,518068.0
1288,2.0,1239.0,91061.0,1385.0,90964.0,1279.0,1288.0
582,2.0,1224.0,1236.0,91347.0,1903414.0,581.0,582.0
1497796,2.0,1224.0,1236.0,91347.0,543.0,570.0,1497796.0
166322,2.0,1117.0,3028117.0,1890424.0,1890426.0,1129.0,166322.0
1302,2.0,1239.0,91061.0,186826.0,1300.0,1301.0,1302.0
1871047,2.0,976.0,117743.0,200644.0,2762318.0,59732.0,1871047.0
305,2.0,1224.0,28216.0,80840.0,119060.0,48736.0,305.0
641420,2.0,1224.0,28216.0,206351.0,1499392.0,32014.0,641420.0
615,2.0,1224.0,1236.0,91347.0,1903411.0,613.0,615.0
552,2.0,1224.0,1236.0,91347.0,1903409.0,551.0,552.0
28141,2.0,1224.0,1236.0,91347.0,543.0,413496.0,28141.0
569,2.0,1224.0,1236.0,91347.0,1903412.0,568.0,569.0
294,2.0,1224.0,1236.0,72274.0,135621.0,286.0,294.0
2434,2.0,1224.0,28211.0,204455.0,2854170.0,2433.0,2434.0
668,2.0,1224.0,1236.0,135623.0,641.0,511678.0,668.0
314855,2.0,1224.0,1236.0,135623.0,641.0,662.0,314855.0
29497,2.0,1224.0,1236.0,135623.0,641.0,662.0,29497.0
314913,2.0,1224.0,1236.0,135623.0,641.0,662.0,314913.0
109790,2.0,1239.0,91061.0,186826.0,33958.0,1578.0,109790.0
317,2.0,1224.0,1236.0,72274.0,135621.0,286.0,317.0
634157,2157.0,28890.0,183963.0,1644055.0,1963271.0,56688.0,634157.0
621,2.0,1224.0,1236.0,91347.0,543.0,620.0,621.0
680,2.0,1224.0,1236.0,135623.0,641.0,662.0,680.0
1303,2.0,1239.0,91061.0,186826.0,1300.0,1301.0,1303.0
712622,2.0,1239.0,91061.0,186826.0,1300.0,1301.0,712622.0
155978,2.0,1117.0,3028117.0,1890424.0,1890429.0,155977.0,155978.0
624,2.0,1224.0,1236.0,91347.0,543.0,620.0,624.0
80866,2.0,1224.0,28216.0,80840.0,80864.0,80865.0,80866.0
2371,2.0,1224.0,1236.0,135614.0,32033.0,2370.0,2371.0
573,2.0,1224.0,1236.0,91347.0,543.0,570.0,573.0
28447,2.0,201174.0,1760.0,85006.0,85023.0,1573.0,28447.0
470,2.0,1224.0,1236.0,2887326.0,468.0,469.0,470.0
687691,2157.0,28889.0,183924.0,2281.0,118883.0,2284.0,687691.0
687692,2157.0,28889.0,183924.0,2281.0,118883.0,2284.0,687692.0
41673,2157.0,28889.0,183924.0,2281.0,118883.0,12914.0,41673.0
678,2.0,1224.0,1236.0,135623.0,641.0,662.0,678.0
56636,2157.0,28889.0,183924.0,114380.0,2272.0,56635.0,56636.0
155892,2.0,1224.0,28211.0,204458.0,76892.0,75.0,155892.0
1681,2.0,201174.0,1760.0,85004.0,31953.0,1678.0,1681.0
1245,2.0,1239.0,91061.0,186826.0,33958.0,1243.0,1245.0
33903,2.0,201174.0,1760.0,85011.0,2062.0,1883.0,33903.0
232353,2.0,1117.0,3028117.0,1890424.0,1890426.0,1129.0,232353.0
305430,2.0,1117.0,3028117.0,1890424.0,1890426.0,1129.0,305430.0
674516,2157.0,28889.0,183924.0,2281.0,118883.0,2284.0,674516.0
1525218,2.0,1224.0,28211.0,204455.0,2854170.0,60136.0,1525218.0
1870901,2.0,1224.0,28211.0,204455.0,2854170.0,245186.0,1870901.0
1055158,2.0,1224.0,28211.0,204455.0,2854170.0,245186.0,1055158.0
1061,2.0,1224.0,28211.0,204455.0,31989.0,1060.0,1061.0
728061,2.0,1224.0,1236.0,2887326.0,468.0,497.0,728061.0
728063,2.0,1224.0,1236.0,135623.0,641.0,662.0,728063.0
728059,2.0,1224.0,1236.0,135624.0,84642.0,642.0,728059.0
728064,2.0,1224.0,1236.0,135623.0,641.0,662.0,728064.0
728062,2.0,1224.0,1236.0,135622.0,267888.0,53246.0,728062.0
59843,2.0,1239.0,91061.0,1385.0,186822.0,44249.0,59843.0
1062,2.0,1224.0,28211.0,204455.0,31989.0,1060.0,1062.0
34009,2.0,1224.0,28211.0,204455.0,31989.0,34008.0,34009.0
685,2.0,1224.0,1236.0,135623.0,641.0,662.0,685.0
1879286,2157.0,28890.0,183963.0,1644055.0,1963271.0,56688.0,1879286.0
1905321,2.0,1224.0,1236.0,135619.0,28256.0,332339.0,1905321.0
868811,2.0,1224.0,1236.0,135623.0,641.0,662.0,868811.0
255252,2.0,1117.0,3028117.0,1890424.0,1890426.0,1129.0,255252.0
76594,2.0,976.0,117743.0,200644.0,49546.0,104264.0,76594.0
192170,2.0,976.0,117743.0,200644.0,49546.0,104264.0,192170.0
459558,2.0,976.0,117743.0,200644.0,49546.0,104264.0,459558.0
40214,2.0,1224.0,1236.0,2887326.0,468.0,469.0,40214.0
2756,2.0,1239.0,91061.0,1385.0,186820.0,2755.0,2756.0
28229,2.0,1224.0,1236.0,135622.0,267889.0,28228.0,28229.0
1496,2.0,1239.0,186801.0,186802.0,186804.0,1870884.0,1496.0
314264,2.0,1224.0,28211.0,204455.0,2854170.0,74030.0,314264.0
314263,2.0,1224.0,28211.0,204455.0,2854170.0,74030.0,314263.0
1348393,2.0,1224.0,1236.0,135622.0,267888.0,53246.0,1348393.0
644,2.0,1224.0,1236.0,135624.0,84642.0,642.0,644.0
549,2.0,1224.0,1236.0,91347.0,1903409.0,53335.0,549.0
505352,2.0,1224.0,28216.0,32003.0,,,505352.0
996,2.0,976.0,117743.0,200644.0,49546.0,237.0,996.0
907046,2.0,976.0,117743.0,200644.0,49546.0,237.0,907046.0
232352,2.0,1117.0,3028117.0,1890424.0,1890426.0,1129.0,232352.0
87883,2.0,1224.0,28216.0,80840.0,119060.0,32008.0,87883.0
33968,2.0,1239.0,91061.0,186826.0,33958.0,1243.0,33968.0
