name,species_taxid,index,isolation_source,136468,32051,246167,1219,553239,47951,29497,287,678,59932,1904441,198252,439493,1942464,76594,573,2881428,2745561,110662,2070776,2024849,188144,53249,2268451,645,444515,2745563,212663,190893,28108,670,316,28901,166314,663,313588,2745558,2434,2070777,1907202,85698,190895,1904862,1892904,1870778,170673,166309,1564506,1351,1131,1348393,459558,39960,306,29498,2749994,267375,267,2546201,192170,232352,728064,728063,696485,691,680,672,668,538381,462991,50741
Vibrio phage 1.235.O._10N.261.52.B2,1881352,2579,"iron chloride precipitation of 0.2um-filtered seawater, resuspended in oxalate solution",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vibrio phage 1.231.O._10N.261.49.F8,1881351,2578,"iron chloride precipitation of 0.2um-filtered seawater, resuspended in oxalate solution",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vibrio phage 1.223.O._10N.261.48.A9,1881350,2577,"iron chloride precipitation of 0.2um-filtered seawater, resuspended in oxalate solution",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vibrio phage 1.200.O._10N.286.55.E1,1881349,2576,"iron chloride precipitation of 0.2um-filtered seawater, resuspended in oxalate solution",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vibrio phage 1.196.O._10N.286.54.E12,1881348,2575,"iron chloride precipitation of 0.2um-filtered seawater, resuspended in oxalate solution",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vibrio phage 1.195.O._10N.286.54.C8,1881347,2574,"iron chloride precipitation of 0.2um-filtered seawater, resuspended in oxalate solution",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vibrio phage 1.194.O._10N.286.54.B1,1881346,2573,"iron chloride precipitation of 0.2um-filtered seawater, resuspended in oxalate solution",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vibrio phage 1.190.O._10N.286.51.F12,1881345,2572,"iron chloride precipitation of 0.2um-filtered seawater, resuspended in oxalate solution",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vibrio phage 1.175.O._10N.261.55.B3,1881344,2571,"iron chloride precipitation of 0.2um-filtered seawater, resuspended in oxalate solution",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vibrio phage 1.174.O._10N.261.55.A8,1881343,2570,"iron chloride precipitation of 0.2um-filtered seawater, resuspended in oxalate solution",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
